BATCH_ID,PRODUCT_LINE,LAYUP_START,LAYUP_END,CURE_START,CURE_END,TRIM_START,TRIM_END,QC_TIMESTAMP,QC_RESULT,SCRAP_FLAG,DELAMINATION_SCORE
BATCH-20251108-01,AVALANCHE_X1,2025-11-08T09:35:24.238148,2025-11-08T11:35:24.238148,2025-11-08T12:05:24.238148,2025-11-08T16:05:24.238148,2025-11-08T16:20:24.238148,2025-11-08T17:20:24.238148,2025-11-08T17:50:24.238148,REJECT,True,48.5
BATCH-20251108-02,AVALANCHE_X1,2025-11-08T12:35:24.238148,2025-11-08T14:35:24.238148,2025-11-08T15:05:24.238148,2025-11-08T19:05:24.238148,2025-11-08T19:20:24.238148,2025-11-08T20:20:24.238148,2025-11-08T20:50:24.238148,PASS,False,39.7
BATCH-20251108-03,AVALANCHE_X1,2025-11-08T15:35:24.238148,2025-11-08T17:35:24.238148,2025-11-08T18:05:24.238148,2025-11-08T22:05:24.238148,2025-11-08T22:20:24.238148,2025-11-08T23:20:24.238148,2025-11-08T23:50:24.238148,PASS,False,23.4
BATCH-20251108-04,AVALANCHE_X1,2025-11-08T18:35:24.238148,2025-11-08T20:35:24.238148,2025-11-08T21:05:24.238148,2025-11-09T01:05:24.238148,2025-11-09T01:20:24.238148,2025-11-09T02:20:24.238148,2025-11-09T02:50:24.238148,PASS,False,10.9
BATCH-20251108-05,AVALANCHE_X1,2025-11-08T21:35:24.238148,2025-11-08T23:35:24.238148,2025-11-09T00:05:24.238148,2025-11-09T04:05:24.238148,2025-11-09T04:20:24.238148,2025-11-09T05:20:24.238148,2025-11-09T05:50:24.238148,PASS,False,28.5
BATCH-20251108-06,AVALANCHE_X1,2025-11-09T00:35:24.238148,2025-11-09T02:35:24.238148,2025-11-09T03:05:24.238148,2025-11-09T07:05:24.238148,2025-11-09T07:20:24.238148,2025-11-09T08:20:24.238148,2025-11-09T08:50:24.238148,PASS,False,34.0
BATCH-20251108-07,AVALANCHE_X1,2025-11-09T03:35:24.238148,2025-11-09T05:35:24.238148,2025-11-09T06:05:24.238148,2025-11-09T10:05:24.238148,2025-11-09T10:20:24.238148,2025-11-09T11:20:24.238148,2025-11-09T11:50:24.238148,REJECT,True,63.7
BATCH-20251108-08,AVALANCHE_X1,2025-11-09T06:35:24.238148,2025-11-09T08:35:24.238148,2025-11-09T09:05:24.238148,2025-11-09T13:05:24.238148,2025-11-09T13:20:24.238148,2025-11-09T14:20:24.238148,2025-11-09T14:50:24.238148,PASS,False,37.0
BATCH-20251109-01,AVALANCHE_X1,2025-11-09T09:35:24.238148,2025-11-09T11:35:24.238148,2025-11-09T12:05:24.238148,2025-11-09T16:05:24.238148,2025-11-09T16:20:24.238148,2025-11-09T17:20:24.238148,2025-11-09T17:50:24.238148,PASS,False,13.4
BATCH-20251109-02,AVALANCHE_X1,2025-11-09T12:35:24.238148,2025-11-09T14:35:24.238148,2025-11-09T15:05:24.238148,2025-11-09T19:05:24.238148,2025-11-09T19:20:24.238148,2025-11-09T20:20:24.238148,2025-11-09T20:50:24.238148,PASS,False,30.1
